andrew	magee 
arnold	palmer 
ben	crenshaw 
bernhard	langer 
bill	glasson 
billy	andrade 
billy	mayfair 
blaine	mccallister 
bob	estes 
bob	friend 
bob	tway 
bobby	jones
brad	fabel 
brad	faxon 
brandel	chamblee 
brent	geiberger 
brian	henninger 
bruce	lietzke 
calvin	peete
chip	beck 
chris	perry 
colin	montgomerie 
corey	pavin 
costantino	rocca 
craig	parry 
craig	stadler 
curtis	strange 
da	weibring 
dan	forsman 
darren	clarke 
david	duval 
david	frost 
david	toms 
davis	love 
davis	loveIII
dudley	hart 
ernie	els 
frank	nobilo 
fred	couples 
fred	funk 
fuzzy	zoeller 
glen	day 
grant	waite 
hal	sutton 
ian	woosnam 
ignacio	garrido 
jack	nicklaus 
jay	haas 
jaydon	blake 
jeff	maggert 
jeff	sluman 
jerry	kelly 
jesper	parnevik 
jim	carter 
jim	furyk 
joe	durant 
joey	sindelar 
john	cook 
john	daly 
john	huston 
justin	leonard 
kenny	perry 
kevin	sutherland 
kirk	triplett 
larry	mize 
lee	janzen 
lee	trevino
lee	westwood 
loren	roberts 
mark	brooks 
mark	calcavecchia 
mark	omeara 
michael	bradley 
mike	hulbert 
nick	faldo 
nick	price 
nolan	henke 
olin	browne 
omar	uresti 
paul	azinger 
paul	goydos 
paul	stankowski 
payne	stewart 
peter	jacobsen 
phil	blackmar 
phil	mickelson 
robert	damron 
rocco	mediate 
russ	cochran 
sandy	lyle 
scott	gump 
scott	hoch 
scott	mccarron 
scott	simpson 
scott	verplank 
seve	ballesteros 
skip	kendall 
stephen	ames 
steve	elkington 
steve	flesch 
steve	jones 
steve	lowery 
steve	pate 
steve	stricker 
stewart	cink 
stuart	appleby 
ted	tryba 
thomas	bjorn 
tiger	woods 
tim	herron 
tom	kite 
tom	lehman 
tom	watson 
tommy	tolles 
trevor	dodds 
vijay	singh 
willie	wood 
